source,target,title,evidence
/14149-2/,/شركات-تصميم-مواقع-الكترونية-بالمعادي/,أفضل 7 شركات تصميم مواقع الكترونية بالمعادي لتعزيز نشاطك,"Old database _wp_old_slug; identical current slug, type and title"
/5-معلومات-يجب-معرفتها-عن-تصميم-المتاجر-ا/,/تصميم-المتاجر-الإلكترونية/,5 معلومات يجب معرفتها عن تصميم المتاجر الإلكترونية,"Old database _wp_old_slug; identical current slug, type and title"
/6-أسباب-تجعل-تصميم-برنامج-محاسبة-sql-من-قيم/,/تصميم-برنامج-محاسبة-sql/,6 أسباب تجعل تصميم برنامج محاسبة SQL من قيمة تك خيارك الأمثل,"Old database _wp_old_slug; identical current slug, type and title"
/7-خطوات-لتصميم-تطبيق-مطعم-مبتكر-بطابع-فر/,/تصميم-تطبيق-مطعم/,7 خطوات لتصميم تطبيق مطعم مبتكر بطابع فريد مع قيمة تك,"Old database _wp_old_slug; identical current slug, type and title"
/7مميزات-لإستخدام-تطبيقات-الهواتف-الذك/,/مزايا-استخدام-تطبيقات-الهواتف-الذكية/,7 مزايا لاستخدام تطبيقات الهواتف الذكية لتطوير نشاطك,"Old database _wp_old_slug; identical current slug, type and title"
/9-مميزات-تقدمها-لك-شركة-قيمة-تك-لـ-إنشاء/,/إنشاء-متجر-الكتروني-في-مصر/,إنشاء متجر الكتروني في مصر في 9 خطوات يعكس هوية نشاطك,"Old database _wp_old_slug; identical current slug, type and title"
/9122-2/,/شركات-تصميم-مواقع-سعوديه/,إليك أهم 7 معايير لاختيار أفضل شركات تصميم مواقع سعوديه,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/2268/,/portfolio/موقع-بنك-ابو-ظبي-التجاري/,موقع بنك أبو ظبي التجاري,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/2279/,/portfolio/egypt-foods/,Egypt Foods,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/2375/,/portfolio/future-herbs/,Future Herbs,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/30789/,/portfolio/k3-pro/,K3 PRO,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/active/,/portfolio/activ/,Activ,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/greenwing/,/portfolio/green-wing/,Green Wing,Exact Green Wing name/spelling variant; existing current project verified
/portfolio/lastlook/,/portfolio/last-look/,Last Look,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/test/,/portfolio/activ/,Activ,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/الخدمات-الطبية/,/portfolio/الخدمات-التعليمية/,تواصل,"Old database _wp_old_slug; identical current slug, type and title"
/portfolio/شركة-إتقان/,/portfolio/موقع-شركة-إتقان/,موقع شركة إتقان,"Old database _wp_old_slug; identical current slug, type and title"
/أريد-أن-أصنع-برنامج-أهم-الخطوات-من-قيم/,/أريد-أن-أصنع-برنامج-أهم-الخطوات-من-قيمة/,أريد أن أصنع برنامج.. أهم الخطوات من قيمة تك,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-7-شركات-تصميم-مواقع-الكترونية-بالم/,/شركات-تصميم-مواقع-الكترونية-بالمعادي/,أفضل 7 شركات تصميم مواقع الكترونية بالمعادي لتعزيز نشاطك,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-الخدمات-المقدمة-في-مجال-تطوير-الم/,/تطوير-المواقع-الإلكترونية/,أهمية تطوير المواقع الإلكترونية لنجاح الأعمال في 2026,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-شركات-استضافة-المواقع-فى-مصر-2023/,/شركات-استضافة-المواقع-فى-مصر/,أفضل 5 خدمات توفرها شركات استضافة المواقع فى مصر,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-شركات-برمجة-تطبيقات-في-مصر/,/شركات-برمجة-تطبيقات-في-مصر/,دليلك لاختيار أفضل شركات برمجة تطبيقات في مصر لعام 2026,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-شركات-تصميم-المواقع-على-الإنترنت/,/أفضل-شركات-تصميم-المواقع/,أفضل شركات تصميم المواقع الالكترونية: 6 شركات أبرزهم قيمة تك,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-شركات-تصميم-تطبيقات-الهواتف-الذك/,/تصميم-تطبيقات-الهواتف-الذكية/,أفضل شركات تصميم تطبيقات الهواتف الذكية 2026,"Old database _wp_old_slug; identical current slug, type and title"
/أفضل-شركات-تصميم-تطبيقات-الهواتف/,/تصميم-تطبيقات-الهواتف-الذكية/,أفضل شركات تصميم تطبيقات الهواتف الذكية 2026,"Old database _wp_old_slug; identical current slug, type and title"
